Engine,Version,Published,STC,LTC,VLTC,Author,Home
Stockfish,18.0,2026-01-31,3497,3578,3603,"<a href=""https://github.com/official-stockfish/Stockfish/blob/master/AUTHORS"" target=""_blank"">Stockfish Authors</a>",https://github.com/official-stockfish/Stockfish
Shashchess,41.2,2026-03-31,3483,3580,3592,Andrea Manzo,https://github.com/amchess/ShashChess
Crystal,9,2025-05-09,3411,3556,3583,Joseph Ellis,https://github.com/jhellis3/Stockfish
Reckless,0.9.0,2026-03-01,3470,3559,3582,Arseniy Surkov,https://github.com/codedeliveryservice/Reckless
Viridithas,20.0.0,2026-06-27,3438,3551,3582,Cosmo Bobak,https://github.com/cosmobobak/viridithas
Pawnocchio,2.0.1,2026-06-29,3430,3544,3579,Jonathan Hallström,https://github.com/JonathanHallstrom/pawnocchio
Obsidian,16.0,2025-05-21,3424,3545,3571,Gabriele Lombardo,https://github.com/gab8192/Obsidian
Alexandria,9.0,2026-02-27,3413,3533,3564,PGG106,https://github.com/PGG106/Alexandria
Stormphrax,8.0.0,2026-06-27,3382,3526,3564,Ciekce,https://github.com/Ciekce/Stormphrax
Coda,0.9.2,2026-07-16,3429,3567,3557,Adam Twiss,https://github.com/adamtwiss/coda
PlentyChess,8.0.0,2026-06-27,3456,3560,3556,Patrick Leonhardt,https://github.com/Yoshie2000/PlentyChess
Raphael,4.2.0,2026-06-27,3387,3515,3549,Rei Meguro,https://github.com/Orbital-Web/Raphael
Cinder,0.5.2,2026-07-12,3367,3526,3549,Bruno Dutra,https://github.com/brunocodutra/cinder
Sugar,2.50,2021-11-15,3384,3521,3548,,
Caissa,1.25,2026-04-05,3370,3518,3546,Michał Witanowski,https://github.com/Witek902/Caissa
Tarnished,6.0,2026-06-10,3337,3521,3546,Anik Patel,https://github.com/Bobingstern/Tarnished
Halogen,16.0.0,2026-02-10,3345,3511,3537,Kieren Pearson,https://github.com/KierenP/Halogen
Astra,7.0,2026-05-26,3376,3519,3536,Semih Özalp,https://github.com/h1me01/Astra
Clover,9.1,2025-09-14,3370,3522,3533,Luca Metehau,https://github.com/lucametehau/CloverEngine
Quanticade,3.0,2025-12-15,3332,3502,3533,Martin Botka,https://github.com/Quanticade/Quanticade
Hobbes,2.1,2026-05-26,3386,3518,3530,Dan Kelsey,https://github.com/kelseyde/hobbes-chess-engine
Integral,7.0,2025-02-14,3355,3505,3529,Aron Petkovski,https://github.com/aronpetko/integral
Renegade,1.3.1,2026-07-14,3320,3503,3526,Krisztián Peőcz,https://github.com/pkrisz99/Renegade
Motor,0.9.0,2025-06-02,3320,3484,3519,Martin Novák,https://github.com/martinnovaak/motor
PZChessBot,7.1,2026-06-27,3306,3509,3518,Kevin Lu,https://github.com/kevlu8/PZChessBot
Horsie,1.1,2025-05-13,3337,3486,3515,Liam McGuire,https://github.com/liamt19/Horsie
Tcheran,13.0,2026-07-17,3310,3468,3515,Jonathan Gilchrist,https://github.com/tcheran-chess/tcheran
Rubichess,20240817,2024-08-17,3329,3475,3509,Andreas Matthies,https://github.com/Matthies/RubiChess
Lizard,11.2,2025-01-08,3289,3468,3503,Liam McGuire,https://github.com/liamt19/Lizard
Icarus,1.1.1,2026-07-17,3314,3487,3503,,https://github.com/Sp00ph/icarus
Prune,4.0.1,2026-07-07,3247,3422,3499,Thomas Girolami,https://github.com/tgirolami09/Prune
Starzix,6.1,2025-04-06,3317,3479,3497,zzzzz,https://github.com/zzzzz151/Starzix
Zangdar,7,2026-07-13,3294,3449,3491,Carbecq,https://github.com/Carbecq/Zangdar
Cataphract,1.5.1,2026-06-22,3243,3447,3484,,https://github.com/masceron/Cataphract
Tal,2.07,2026-06-20,3229,3416,3478,Chris Whittington,https://github.com/ChrisWhittington/Chess-System-Tal-NNUE-2
Arasan,25.4,2026-04-15,3224,3421,3474,Jon Dart,https://github.com/jdart1/arasan-chess
Booot,7.4,2025-02-25,3218,3430,3474,Alex Morozov,https://github.com/booot76/Booot-chess-engine
Revenge,4.0.7,2025-01-01,3266,3440,3470,Fabio Gobbato,https://www.revengechess.com/
Velvet,8.1.1,2024-11-06,3267,3433,3456,Mhonert,https://github.com/mhonert/velvet-chess
